ID;Name
1;Braunau
2;Ranshofen
3;Neukirchen
4;Gundertshausen
5;Eggelsberg
6;Moosdorf
7;Lamprechtshausen
8;Oberndorf
9;Bergheim
10;Salzburg
11;Burgkirchen
12;Sankt Florian
13;Uttendorf
14;Schalchen
15;Mattighofen
16;Munderfing
17;Friedburg
18;Strasswalchen
19;Neumarkt am Wallersee
20;Henndorf am Wallersee
21;Eugendorf
22;Sankt Peter am Hart
23;Altheim
24;Polling im Innkreis
25;Kirchheim im Innkreis
26;Schwand
27;Gilgenberg am Weilhart
28;Pischelsdorf
29;Feldkirchen
30;Pfaffstätt
31;Jeging
32;Kirchberg bei Mattighofen
33;Palting
34;Lochen am See
35;Lengau
36;Mattsee
37;Obertrum
38;Schleedorf
39;Seekirchen am Wallersee
40;Elixhausen
41;Moosbach bei Mauerkirchen
42;Weng im Innkreis
43;Mauerkirchen
44;Treubach
45;Rossbach
46;Höhnhart
47;Aspach
48;Maria Schmolln
49;Sankt Johann am Walde
